Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,"Toe 1 (Proximal “Thumb"") x","Toe 1 (Proximal “Thumb"") y","Toe 1 (Proximal “Thumb"") likelihood",Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,"Toe 5 (Distal “Pinky"") x","Toe 5 (Distal “Pinky"") y","Toe 5 (Distal “Pinky"") likelihood"
615,907.4662475585940,310.2118835449220,0.5167660713195800,559.7601318359380,584.1276245117190,0.9733201265335080,561.3399658203130,793.8719482421880,0.9823659062385560,576.586669921875,855.5138549804690,0.997247576713562,471.1481628417970,874.8275756835940,0.9868370294570920,458.1155090332030,966.907958984375,0.9794501066207890,393.6183166503910,991.5467529296880,0.9828119874000550,363.6524353027340,1011.8890991210900,0.8766205310821530,364.85418701171900,1015.2134399414100,0.9850088357925420,421.4517517089840,998.345458984375,0.9990338087081910
616,907.4662475585940,310.2118835449220,0.5227400064468380,559.7601318359380,584.7763061523440,0.9699597954750060,561.08837890625,794.1205444335940,0.982860803604126,575.4093627929690,855.7686157226560,0.9962431192398070,470.31622314453100,875.1011962890630,0.9860590100288390,455.0582580566410,967.8558959960940,0.9490668177604680,388.9212951660160,991.5467529296880,0.9941535592079160,363.6524353027340,1004.571533203130,0.9061923623085020,352.94049072265600,1015.2134399414100,0.9857603907585140,416.1292419433590,1002.2188110351600,0.9882029891014100
617,907.4662475585940,310.2118835449220,0.5265974998474120,560.0462646484380,585.3638305664060,0.9695807695388790,560.7835693359380,794.62255859375,0.9811071157455440,573.75244140625,857.358154296875,0.9963824152946470,469.11273193359400,875.3372192382810,0.9838968515396120,448.26806640625,968.3348999023440,0.9163991808891300,376.88922119140600,990.1387939453130,0.9574978351593020,363.6524353027340,1000.2008666992200,0.9841119647026060,331.0408020019530,1014.926025390630,0.9743649959564210,397.3841857910160,1002.2188110351600,0.9774422645568850
618,906.2354736328130,314.0343017578130,0.5164810419082640,560.0462646484380,585.3638305664060,0.969455361366272,560.6015625,794.62255859375,0.9827646613121030,573.0106811523440,857.8370971679690,0.9961473941802980,468.7711181640630,875.3372192382810,0.9840965270996090,441.9423522949220,968.3348999023440,0.9243612885475160,375.85552978515600,988.0336303710940,0.9240124225616460,360.2516174316410,1000.2008666992200,0.7828497290611270,321.069091796875,1014.2862548828100,0.992490828037262,391.440673828125,1002.2188110351600,0.997187077999115
619,905.800048828125,314.1039123535160,0.504925012588501,560.0462646484380,585.3638305664060,0.9721392393112180,560.5895385742190,795.22265625,0.9806666970252990,572.3728637695310,858.0033569335940,0.9960730075836180,468.6534118652340,875.3372192382810,0.9814992547035220,433.51153564453100,967.8558959960940,0.836173415184021,375.3233947753910,975.2655639648440,0.583879828453064,358.29119873046900,999.31298828125,0.70707768201828,312.5940856933590,1004.4125366210900,0.9874914884567260,390.2863464355470,1000.4993286132800,0.9993857145309450
620,899.9374389648440,314.13446044921900,0.4783913791179660,560.1400146484380,585.0624389648440,0.9736413955688480,560.281494140625,795.44189453125,0.9782142639160160,570.87353515625,858.1944580078130,0.9968692660331730,468.2003173828130,875.2999877929690,0.9800435304641720,425.3199157714840,967.2816162109380,0.77388995885849,374.6531066894530,974.36669921875,0.28589460253715500,357.1981506347660,995.7516479492190,0.2166602909564970,311.4353942871090,998.6597900390630,0.995536208152771,386.3287353515630,997.8783569335940,0.9995947480201720
621,899.7247924804690,314.2416076660160,0.48052987456321700,560.0942993164060,584.85107421875,0.9735965728759770,560.2683715820310,795.4519653320310,0.9776297807693480,570.0895385742190,858.4354858398440,0.9964659810066220,467.9723205566410,874.9637451171880,0.9803441762924190,421.37335205078100,966.3171997070310,0.5700180530548100,373.7812194824220,970.56884765625,0.146819069981575,355.6487731933590,992.3157348632810,0.16653093695640600,310.83001708984400,992.973388671875,0.995028555393219,383.4251403808590,996.7943115234380,0.9963226318359380
622,899.4393310546880,314.5017395019530,0.47773879766464200,560.03759765625,584.7935180664060,0.9737641215324400,560.2683715820310,795.6201782226560,0.9784380197525020,569.4923095703130,859.71484375,0.996522068977356,467.7956237792970,872.3564453125,0.9880126714706420,418.4584655761720,964.78466796875,0.2837981879711150,370.4324951171880,963.1544189453130,0.09193950146436690,351.43572998046900,983.5642700195310,0.17592164874076800,306.7420349121090,984.5999755859380,0.9966486096382140,380.0460510253910,991.740234375,0.9946866035461430
623,899.3151245117190,314.74169921875,0.4837799072265630,560.03759765625,584.7935180664060,0.9737421274185180,560.2684936523440,796.0407104492190,0.9770859479904180,568.7844848632810,860.1273193359380,0.9964105486869810,467.0035400390630,869.092041015625,0.9885700345039370,412.6445617675780,959.217041015625,0.46904075145721400,368.0999755859380,957.8374633789060,0.05108097940683370,346.99884033203100,979.2133178710940,0.10897795110940900,304.1707763671880,973.2301025390630,0.9914365410804750,373.7304992675780,985.7022094726560,0.9990997314453130
624,899.2015991210940,314.8636169433590,0.48284605145454400,560.03759765625,584.7591552734380,0.9736118912696840,560.2734375,796.1393432617190,0.9774929881095890,567.9548950195310,860.60791015625,0.9964428544044500,466.66143798828100,868.2592163085940,0.9884310960769650,411.52978515625,958.4979858398440,0.5589668154716490,365.6280517578130,957.0253295898440,0.03430352360010150,346.1777648925780,978.0777587890630,0.0796494260430336,302.8160400390630,971.1275024414060,0.987700343132019,371.2159729003910,983.1228637695310,0.999231219291687
625,898.9771118164060,315.0072021484380,0.4837391674518590,559.9833984375,584.6551513671880,0.973300576210022,560.2734375,796.345458984375,0.9771906733512880,567.8765258789060,860.6749267578130,0.996450662612915,466.1430969238280,867.2144775390630,0.9858039617538450,410.4559020996090,956.241455078125,0.5038208365440370,362.5191650390630,952.97998046875,0.02517254836857320,305.6455993652340,958.9869995117190,0.0708104744553566,299.93023681640600,970.6154174804690,0.9943130016326900,369.2880859375,981.5322875976560,0.997912585735321
626,898.9585571289060,315.0072021484380,0.48186036944389300,559.9330444335940,584.616943359375,0.9730805158615110,560.2734375,796.345458984375,0.9776305556297300,567.8765258789060,860.6749267578130,0.9964853525161740,465.3203430175780,866.2271118164060,0.9857351183891300,409.11566162109400,954.3428344726560,0.2968602776527410,360.634521484375,952.2703247070310,0.02798512764275070,305.6455993652340,958.9869995117190,0.16073563694953900,299.2022705078130,968.1712036132810,0.99714595079422,368.3093566894530,980.4338989257810,0.9960737228393560
