Time,Hip x,Hip y,Hip likelihood,Knee x,Knee y,Knee likelihood,Ankle x,Ankle y,Ankle likelihood,Heel (ventral) x,Heel (ventral) y,Heel (ventral) likelihood,Instep (dorsal) x,Instep (dorsal) y,Instep (dorsal) likelihood,Toe 1 (Proximal Thumb) x,Toe 1 (Proximal Thumb) y,Toe 1 (Proximal Thumb) likelihood,Toe 2 x,Toe 2 y,Toe 2 likelihood,Toe 3 (Middle) x,Toe 3 (Middle) y,Toe 3 (Middle) likelihood,Toe 4 x,Toe 4 y,Toe 4 likelihood,Toe 5 (Distal Pinky) x,Toe 5 (Distal Pinky) y,Toe 5 (Distal Pinky) likelihood
1050,897.8805541992190,314.270263671875,0.4757809340953830,555.0723876953130,582.4537963867190,0.9788289070129400,553.7077026367190,792.8692016601560,0.9791142344474790,561.775146484375,858.5989379882810,0.9979856014251710,456.4171447753910,858.99365234375,0.9692972898483280,396.3089294433590,947.4118041992190,0.3263123333454130,342.5498352050780,947.3480834960940,0.04590263590216640,324.27752685546900,965.3757934570310,0.08116324990987780,280.8650207519530,954.348388671875,0.9937062859535220,351.5949401855470,968.8264770507810,0.9973150491714480
1051,897.8770751953130,314.2823181152340,0.47599053382873500,555.0333862304690,582.3308715820310,0.9802804589271550,553.6918334960940,792.7132568359380,0.9716830849647520,562.5840454101560,857.9755249023440,0.9980171918869020,457.7723388671880,858.99365234375,0.9685770273208620,399.5483093261720,947.4118041992190,0.7548555135726930,342.5498352050780,947.3480834960940,0.16553378105163600,324.27752685546900,966.9555053710940,0.32941702008247400,280.8650207519530,955.791259765625,0.9875952005386350,356.2604675292970,968.8264770507810,0.9995241165161130
1052,897.8805541992190,314.3614196777340,0.47538554668426500,555.0333862304690,582.2695922851560,0.980618953704834,553.6918334960940,792.4426879882810,0.9782809019088750,564.8159790039060,857.9627075195310,0.9979106187820440,458.6612243652340,860.829345703125,0.9707934856414800,419.91107177734400,950.049560546875,0.9238465428352360,349.7504577636720,962.7886352539060,0.9699500203132630,334.8072509765630,976.8067626953130,0.950107991695404,297.0195007324220,963.84423828125,0.9727305173873900,371.2066955566410,977.72119140625,0.9993027448654180
1053,897.8805541992190,314.38323974609400,0.4767639935016630,555.0638427734380,582.2213745117190,0.981660008430481,553.6918334960940,792.4426879882810,0.9785425662994390,564.8159790039060,857.4826049804690,0.9980158805847170,458.6612243652340,861.1233520507810,0.9705188870429990,420.5455322265630,950.7073364257810,0.9348604083061220,349.7504577636720,962.7886352539060,0.9955578446388250,334.8072509765630,978.8075561523440,0.9316693544387820,297.0195007324220,966.6488647460940,0.9558645486831670,371.2066955566410,979.3486328125,0.9974984526634220
1054,897.883544921875,314.418212890625,0.47956782579422000,555.0638427734380,582.2213745117190,0.9795216917991640,553.6918334960940,792.4426879882810,0.9781930446624760,564.8159790039060,857.4826049804690,0.9980091452598570,458.6612243652340,862.545166015625,0.9676006436347960,420.5455322265630,952.834228515625,0.8749272227287290,349.7504577636720,962.7886352539060,0.982609748840332,334.8072509765630,978.8075561523440,0.9253617525100710,297.0195007324220,966.6488647460940,0.9439910054206850,371.2066955566410,979.3486328125,0.9990862607955930
1055,897.8890991210940,314.418212890625,0.4798288643360140,555.0192260742190,582.2213745117190,0.979966938495636,553.6918334960940,792.3565063476560,0.9738165140151980,564.0282592773440,857.4826049804690,0.9982411861419680,457.6614990234380,862.545166015625,0.9666310548782350,420.5455322265630,952.8638916015630,0.8415685892105100,348.8048400878910,962.3163452148440,0.8982649445533750,333.4856872558590,978.8075561523440,0.895418107509613,294.21759033203100,966.6488647460940,0.9931697845458980,363.2070617675780,979.3486328125,0.99439537525177
1056,897.8897705078130,314.418212890625,0.481812059879303,554.9420776367190,582.2489013671880,0.9795873165130620,553.666259765625,792.4426879882810,0.9734476208686830,563.112060546875,857.7001953125,0.9978857636451720,456.5835876464840,862.545166015625,0.9723861813545230,397.3482666015630,952.8638916015630,0.2884599566459660,342.69427490234400,951.1456909179690,0.04242409020662310,330.8830261230470,968.1583862304690,0.0665333941578865,285.2201843261720,956.1414794921880,0.9862673282623290,346.88458251953100,971.2763671875,0.9833299517631530
1057,897.8897705078130,314.41302490234400,0.48189032077789300,554.9335327148440,582.3451538085940,0.9792976975440980,553.666259765625,792.6827392578130,0.9739780426025390,562.1669311523440,858.3050537109380,0.997928261756897,456.5835876464840,862.4595336914060,0.9749370813369750,396.5210876464840,952.834228515625,0.30907556414604200,342.4267272949220,949.8225708007810,0.028066007420420600,328.6206970214840,966.9248046875,0.06421655416488650,285.0118408203130,954.6363525390630,0.9794695377349850,346.7278747558590,970.3438110351560,0.9892578721046450
1058,897.8897705078130,314.398193359375,0.48180949687957800,554.9291381835940,582.4302368164060,0.9788318872451780,553.666259765625,792.6827392578130,0.9766367077827450,561.8118896484380,858.8514404296880,0.9979629516601560,456.5835876464840,860.9265747070310,0.9766604900360110,395.3908386230470,946.4569091796880,0.3413850665092470,341.1871337890630,944.082275390625,0.01539924181997780,328.6206970214840,965.6605224609380,0.07394436001777650,281.2038879394530,952.4448852539060,0.9914038777351380,346.5316467285160,966.6509399414060,0.9950326681137090
1059,897.90185546875,314.37322998046900,0.48152491450309800,554.8894653320310,582.5178833007810,0.9785516858100890,553.666259765625,792.6827392578130,0.9779838919639590,561.8118896484380,858.8514404296880,0.9977160692214970,457.2398986816410,859.651611328125,0.9755531549453740,395.3908386230470,946.4569091796880,0.3045729100704190,341.1871337890630,944.082275390625,0.02651223912835120,325.5306396484380,965.6605224609380,0.11300092190504100,281.2038879394530,952.4448852539060,0.9926310777664190,346.5316467285160,966.6509399414060,0.9989950060844420
1060,897.90185546875,314.3592834472660,0.4816950857639310,554.854736328125,582.5178833007810,0.9781187176704410,553.4888305664060,793.0399780273440,0.977216362953186,561.8118896484380,858.8514404296880,0.997752845287323,457.2584228515630,859.1637573242190,0.9791445136070250,395.3908386230470,946.4569091796880,0.33668434619903600,341.1871337890630,944.082275390625,0.04364018142223360,325.5306396484380,966.9248046875,0.06349770724773410,281.2038879394530,952.4448852539060,0.9934782981872560,346.5316467285160,966.6509399414060,0.9986956715583800
1061,898.7092895507810,314.04248046875,0.48955437541008000,554.854736328125,582.573486328125,0.9784303903579710,553.4888305664060,793.1842041015630,0.9742855429649350,563.6661987304690,858.6337280273440,0.9981396198272710,457.7645568847660,859.1637573242190,0.9702004194259640,401.7002258300780,949.4295043945310,0.6142069101333620,343.5380859375,948.5352172851560,0.18679822981357600,335.503173828125,967.4188842773440,0.31512579321861300,281.652587890625,956.08349609375,0.9889774918556210,357.81500244140600,970.1295166015630,0.9991355538368230
